movie_urls,movie_title,release_year,genre,IMDb_rating,production_country,streaming_services,Runtime,age_rating,tv_urls,tv_title
https://www.justwatch.com/in/movie/falimy,Falimy,2023,Drama,7.2,India,['Hotstar'],2h 5min,,,
https://www.justwatch.com/in/movie/the-great-indian-rescue,Mission Raniganj,2023,"Drama, History, Mystery & Thriller, Action & Adventure",7.3,India,['Netflix'],2h 14min,,,
https://www.justwatch.com/in/movie/omg-2,OMG 2,2023,"Comedy, Drama",7.6,India,['Netflix'],2h 35min,A,,
https://www.justwatch.com/in/movie/spider-man-into-the-spider-verse-2,Spider-Man: Across the Spider-Verse,2023,"Action & Adventure, Science-Fiction, Animation, Comedy, Kids & Family, Fantasy",8.6,United States,"['Apple TV', 'Netflix', 'Zee5', 'Amazon Video', 'Tata Play', 'Apple TV', 'Google Play Movies', 'YouTube', 'Apple TV', 'Google Play Movies', 'YouTube']",2h 20min,UA,,
https://www.justwatch.com/in/movie/my-name-is-shruthi,My Name Is Shruthi,2023,"Mystery & Thriller, Crime",8.1,India,['Amazon Prime Video'],2h 10min,UA,,
https://www.justwatch.com/in/movie/ghoomer,Ghoomer,2023,"Drama, Sport",7.8,India,['Zee5'],2h 15min,,,
https://www.justwatch.com/in/movie/kannur-squad,Kannur Squad,2023,"Action & Adventure, Crime, Drama, Mystery & Thriller",7.7,India,['Hotstar'],2h 41min,UA,,
https://www.justwatch.com/in/movie/avatar-2,Avatar: The Way of Water,2022,"Science-Fiction, Action & Adventure, Fantasy",7.6,United States,"['Apple TV', 'Hotstar', 'Apple TV', 'Google Play Movies', 'YouTube', 'Apple TV', 'Google Play Movies', 'YouTube']",3h 12min,UA,,
https://www.justwatch.com/in/movie/joram,Joram,2023,"Mystery & Thriller, Action & Adventure, Crime, Drama",7.5,India,['Bookmyshow'],1h 59min,UA,,
https://www.justwatch.com/in/movie/roudram-ranam-rudhiram,RRR,2022,"Drama, Action & Adventure",7.8,India,"['Netflix', 'Hotstar', 'Zee5', 'VI movies and tv']",3h 5min,UA,,
https://www.justwatch.com/in/movie/john-wick-chapter-4,John Wick: Chapter 4,2023,"Mystery & Thriller, Crime, Action & Adventure",7.7,"Germany, United States","['Apple TV', 'Lionsgate Play', 'Apple TV', 'Google Play Movies', 'YouTube', 'Apple TV', 'Google Play Movies', 'YouTube']",2h 50min,,,
https://www.justwatch.com/in/movie/top-gun-maverick,Top Gun: Maverick,2022,"Action & Adventure, Drama",8.3,United States,"['Apple TV', 'Netflix', 'Amazon Video', 'Apple TV', 'Google Play Movies', 'YouTube', 'Google Play Movies', 'YouTube', 'Apple TV']",2h 11min,UA,,
https://www.justwatch.com/in/movie/2018-2023,2018,2023,"Action & Adventure, Mystery & Thriller, Drama",8.4,India,['Sony Liv'],2h 30min,UA,,
,,2022,"Action & Adventure, Crime, Drama, Mystery & Thriller",8.1,United States,['Amazon Prime Video'],48min,A,https://www.justwatch.com/in/tv-show/jack-reacher,Reacher
,,2023,"Drama, Action & Adventure, Crime, Mystery & Thriller",7.1,Spain,['Netflix'],48min,,https://www.justwatch.com/in/tv-show/berlin,Berlin
,,2023,"Action & Adventure, Mystery & Thriller, Drama",8.1,India,['Hotstar'],50min,,https://www.justwatch.com/in/tv-show/the-freelancer,The Freelancer
